"Country or Area","Year(s)","Variant","Value"
"Indonesia","2101","Medium",""
"Indonesia","2100","Medium","81.8745"
"Indonesia","2099","Medium","81.728"
"Indonesia","2098","Medium","81.5806"
"Indonesia","2097","Medium","81.4323"
"Indonesia","2096","Medium","81.2805"
"Indonesia","2095","Medium","81.1386"
"Indonesia","2094","Medium","80.988"
"Indonesia","2093","Medium","80.8364"
"Indonesia","2092","Medium","80.6825"
"Indonesia","2091","Medium","80.5256"
"Indonesia","2090","Medium","80.3726"
"Indonesia","2089","Medium","80.2224"
"Indonesia","2088","Medium","80.0691"
"Indonesia","2087","Medium","79.9247"
"Indonesia","2086","Medium","79.7734"
"Indonesia","2085","Medium","79.6209"
"Indonesia","2084","Medium","79.4821"
"Indonesia","2083","Medium","79.3323"
"Indonesia","2082","Medium","79.1727"
"Indonesia","2081","Medium","79.0269"
"Indonesia","2080","Medium","78.8783"
"Indonesia","2079","Medium","78.7174"
"Indonesia","2078","Medium","78.5772"
"Indonesia","2077","Medium","78.4345"
"Indonesia","2076","Medium","78.2948"
"Indonesia","2075","Medium","78.1468"
"Indonesia","2074","Medium","78.0099"
"Indonesia","2073","Medium","77.8656"
"Indonesia","2072","Medium","77.714"
"Indonesia","2071","Medium","77.5654"
"Indonesia","2070","Medium","77.4208"
"Indonesia","2069","Medium","77.2804"
"Indonesia","2068","Medium","77.1392"
"Indonesia","2067","Medium","76.9975"
"Indonesia","2066","Medium","76.8624"
"Indonesia","2065","Medium","76.7245"
"Indonesia","2064","Medium","76.5859"
"Indonesia","2063","Medium","76.4446"
"Indonesia","2062","Medium","76.3005"
"Indonesia","2061","Medium","76.158"
"Indonesia","2060","Medium","76.0221"
"Indonesia","2059","Medium","75.8857"
"Indonesia","2058","Medium","75.746"
"Indonesia","2057","Medium","75.6116"
"Indonesia","2056","Medium","75.4712"
"Indonesia","2055","Medium","75.3456"
"Indonesia","2054","Medium","75.2045"
"Indonesia","2053","Medium","75.0641"
"Indonesia","2052","Medium","74.931"
"Indonesia","2051","Medium","74.7942"
"Indonesia","2050","Medium","74.6661"
"Indonesia","2049","Medium","74.5331"
"Indonesia","2048","Medium","74.3971"
"Indonesia","2047","Medium","74.2662"
"Indonesia","2046","Medium","74.143"
"Indonesia","2045","Medium","74.0052"
"Indonesia","2044","Medium","73.8716"
"Indonesia","2043","Medium","73.7431"
"Indonesia","2042","Medium","73.608"
"Indonesia","2041","Medium","73.4851"
"Indonesia","2040","Medium","73.3577"
"Indonesia","2039","Medium","73.2281"
"Indonesia","2038","Medium","73.0961"
"Indonesia","2037","Medium","72.9574"
"Indonesia","2036","Medium","72.8323"
"Indonesia","2035","Medium","72.7031"
"Indonesia","2034","Medium","72.5683"
"Indonesia","2033","Medium","72.4377"
"Indonesia","2032","Medium","72.3046"
"Indonesia","2031","Medium","72.172"
"Indonesia","2030","Medium","72.0424"
"Indonesia","2029","Medium","71.9067"
"Indonesia","2028","Medium","71.7804"
"Indonesia","2027","Medium","71.6444"
"Indonesia","2026","Medium","71.5057"
"Indonesia","2025","Medium","71.3746"
"Indonesia","2024","Medium","71.2397"
"Indonesia","2023","Medium","71.0971"
"Indonesia","2022","Medium","68.2498"
"Indonesia","2021","Medium","67.5703"
"Indonesia","2020","Medium","68.8077"
"Indonesia","2019","Medium","70.5184"
"Indonesia","2018","Medium","70.3375"
"Indonesia","2017","Medium","69.9356"
"Indonesia","2016","Medium","69.7976"
"Indonesia","2015","Medium","69.6989"
"Indonesia","2014","Medium","69.5333"
"Indonesia","2013","Medium","69.2641"
"Indonesia","2012","Medium","68.973"
"Indonesia","2011","Medium","68.8228"
"Indonesia","2010","Medium","68.6793"
"Indonesia","2009","Medium","68.4936"
"Indonesia","2008","Medium","68.2261"
"Indonesia","2007","Medium","68.1893"
"Indonesia","2006","Medium","67.9144"
"Indonesia","2005","Medium","67.6492"
"Indonesia","2004","Medium","65.7503"
"Indonesia","2003","Medium","67.4126"
"Indonesia","2002","Medium","67.1336"
"Indonesia","2001","Medium","66.7577"
"Indonesia","2000","Medium","66.4334"
"Indonesia","1999","Medium","66.2206"
"Indonesia","1998","Medium","65.9621"
"Indonesia","1997","Medium","65.7331"
"Indonesia","1996","Medium","65.355"
"Indonesia","1995","Medium","65.2375"
"Indonesia","1994","Medium","64.8562"
"Indonesia","1993","Medium","64.5981"
"Indonesia","1992","Medium","64.1264"
"Indonesia","1991","Medium","63.5371"
"Indonesia","1990","Medium","63.1807"
"Indonesia","1989","Medium","62.6959"
"Indonesia","1988","Medium","62.2106"
"Indonesia","1987","Medium","61.9727"
"Indonesia","1986","Medium","61.7217"
"Indonesia","1985","Medium","61.307"
"Indonesia","1984","Medium","60.7284"
"Indonesia","1983","Medium","60.2732"
"Indonesia","1982","Medium","59.7571"
"Indonesia","1981","Medium","59.1376"
"Indonesia","1980","Medium","58.7542"
"Indonesia","1979","Medium","58.153"
"Indonesia","1978","Medium","57.5649"
"Indonesia","1977","Medium","57.0813"
"Indonesia","1976","Medium","56.5142"
"Indonesia","1975","Medium","55.9683"
"Indonesia","1974","Medium","55.4292"
"Indonesia","1973","Medium","54.8498"
"Indonesia","1972","Medium","54.2425"
"Indonesia","1971","Medium","53.5762"
"Indonesia","1970","Medium","52.9915"
"Indonesia","1969","Medium","52.3537"
"Indonesia","1968","Medium","51.6297"
"Indonesia","1967","Medium","51.0663"
"Indonesia","1966","Medium","48.1998"
"Indonesia","1965","Medium","42.5994"
"Indonesia","1964","Medium","49.2317"
"Indonesia","1963","Medium","48.4294"
"Indonesia","1962","Medium","47.8709"
"Indonesia","1961","Medium","47.1165"
"Indonesia","1960","Medium","46.4516"
"Indonesia","1959","Medium","45.8581"
"Indonesia","1958","Medium","45.0457"
"Indonesia","1957","Medium","44.4986"
"Indonesia","1956","Medium","43.7964"
"Indonesia","1955","Medium","42.9213"
"Indonesia","1954","Medium","42.1883"
"Indonesia","1953","Medium","41.4147"
"Indonesia","1952","Medium","40.6914"
"Indonesia","1951","Medium","39.7847"
"Indonesia","1950","Medium","39.4044"
"United States of America","2101","Medium",""
"United States of America","2100","Medium","89.6436"
"United States of America","2099","Medium","89.5314"
"United States of America","2098","Medium","89.4184"
"United States of America","2097","Medium","89.3159"
"United States of America","2096","Medium","89.1932"
"United States of America","2095","Medium","89.0755"
"United States of America","2094","Medium","88.9647"
"United States of America","2093","Medium","88.8475"
"United States of America","2092","Medium","88.7295"
"United States of America","2091","Medium","88.6225"
"United States of America","2090","Medium","88.4947"
"United States of America","2089","Medium","88.3947"
"United States of America","2088","Medium","88.2798"
"United States of America","2087","Medium","88.1639"
"United States of America","2086","Medium","88.0537"
"United States of America","2085","Medium","87.9366"
"United States of America","2084","Medium","87.8187"
"United States of America","2083","Medium","87.7063"
"United States of America","2082","Medium","87.5955"
"United States of America","2081","Medium","87.4798"
"United States of America","2080","Medium","87.359"
"United States of America","2079","Medium","87.2377"
"United States of America","2078","Medium","87.1374"
"United States of America","2077","Medium","87.0147"
"United States of America","2076","Medium","86.8977"
"United States of America","2075","Medium","86.7715"
"United States of America","2074","Medium","86.6623"
"United States of America","2073","Medium","86.5439"
"United States of America","2072","Medium","86.4338"
"United States of America","2071","Medium","86.3139"
"United States of America","2070","Medium","86.1936"
"United States of America","2069","Medium","86.0797"
"United States of America","2068","Medium","85.9582"
"United States of America","2067","Medium","85.829"
"United States of America","2066","Medium","85.7226"
"United States of America","2065","Medium","85.5994"
"United States of America","2064","Medium","85.4828"
"United States of America","2063","Medium","85.3586"
"United States of America","2062","Medium","85.2338"
"United States of America","2061","Medium","85.1158"
"United States of America","2060","Medium","84.9973"
"United States of America","2059","Medium","84.8711"
"United States of America","2058","Medium","84.7441"
"United States of America","2057","Medium","84.6315"
"United States of America","2056","Medium","84.496"
"United States of America","2055","Medium","84.3656"
"United States of America","2054","Medium","84.2442"
"United States of America","2053","Medium","84.1222"
"United States of America","2052","Medium","83.9826"
"United States of America","2051","Medium","83.85"
"United States of America","2050","Medium","83.7169"
"United States of America","2049","Medium","83.5931"
"United States of America","2048","Medium","83.4512"
"United States of America","2047","Medium","83.3066"
"United States of America","2046","Medium","83.1714"
"United States of America","2045","Medium","83.0257"
"United States of America","2044","Medium","82.8975"
"United States of America","2043","Medium","82.7427"
"United States of America","2042","Medium","82.6054"
"United States of America","2041","Medium","82.4575"
"United States of America","2040","Medium","82.3088"
"United States of America","2039","Medium","82.1597"
"United States of America","2038","Medium","82.0097"
"United States of America","2037","Medium","81.8593"
"United States of America","2036","Medium","81.7082"
"United States of America","2035","Medium","81.5565"
"United States of America","2034","Medium","81.4125"
"United States of America","2033","Medium","81.2512"
"United States of America","2032","Medium","81.1084"
"United States of America","2031","Medium","80.9542"
"United States of America","2030","Medium","80.7995"
"United States of America","2029","Medium","80.6549"
"United States of America","2028","Medium","80.4988"
"United States of America","2027","Medium","80.353"
"United States of America","2026","Medium","80.1869"
"United States of America","2025","Medium","80.0397"
"United States of America","2024","Medium","79.8922"
"United States of America","2023","Medium","79.7384"
"United States of America","2022","Medium","78.2028"
"United States of America","2021","Medium","77.1982"
"United States of America","2020","Medium","77.4144"
"United States of America","2019","Medium","79.138"
"United States of America","2018","Medium","78.9896"
"United States of America","2017","Medium","78.8213"
"United States of America","2016","Medium","78.8482"
"United States of America","2015","Medium","78.8694"
"United States of America","2014","Medium","79.0175"
"United States of America","2013","Medium","78.9507"
"United States of America","2012","Medium","78.9441"
"United States of America","2011","Medium","78.82"
"United States of America","2010","Medium","78.7724"
"United States of America","2009","Medium","78.564"
"United States of America","2008","Medium","78.1958"
